Model_Names,RMSE_Train,RMSE_Test,R2_score_Train,R2_score_Test,best_params
Ridge,1.484955286783439,1.4752171750962235,0.9786315481788692,0.9790436611445761,{'alpha': 0.01}
Lasso,1.4894691246488603,1.494460711500643,0.9783617521749718,0.9793944593399024,{'alpha': 0.01}
ENet,1.492078953981701,1.4963893878694206,0.9783598084004401,0.9791869235997462,{'alpha': 0.005}
RF,1.3481408246813538,1.680009415898147,0.9882742336334576,0.9749084490181182,"{'max_depth': 8, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 500}"
XGBoost,0.827569862182124,1.7355217286165048,0.9999646288232351,0.9956391674794124,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 1000}"
KNN,2.3253420763703607,2.045660515929847,0.9696511728825933,0.9552124367854686,{'n_neighbors': 4}
CART,2.4188517330272665,2.4107299086397616,0.9415917873908108,0.9544929604268011,"{'max_leaf_nodes': 9, 'min_samples_split': 54}"
