Model_Names,RMSE_Train,RMSE_Test,R2_score_Train,R2_score_Test
XGBoost,0.07126350247488471,0.7252729943565502,0.9999455579475449,0.9939666573152053
Ridge,1.421527148848588,1.357851415592532,0.978559861562832,0.9791108466844778
LR,1.4319225511230078,1.3724404581504888,0.9782507342256468,0.9786771555646017
RF,0.5553826978900539,1.6249837555731512,0.9966449851811747,0.9696015655557673
CART,0.0,1.9470118630365847,1.0,0.9563548241884838
KNN,1.8170197249291922,1.962979947102688,0.9658316227491146,0.9576531664057251
Lasso,4.958309586464064,4.380170480672339,0.7471657011521943,0.7900154730127444
ElasticNet,6.047254770398082,5.672197214260671,0.623410798053438,0.6481598992871336
